x Q2 F2 STAT+SYST
3.2000e-02 2.0000e+02 5.8600e-01 2.3440e-03
5.0000e-02 2.0000e+02 5.2100e-01 6.2520e-04
8.0000e-02 2.0000e+02 4.3100e-01 1.4654e-03
1.3000e-01 2.0000e+02 3.5500e-01 8.1650e-04
1.8000e-01 2.0000e+02 3.3100e-01 -7.9440e-04
2.5000e-01 2.0000e+02 2.7300e-01 8.1900e-04
4.0000e-01 2.0000e+02 1.3900e-01 -1.2927e-03
5.0000e-03 2.5000e+02 1.1230e+00 1.9422e-03
5.0000e-03 2.5000e+02 1.1480e+00 -1.3224e-03
8.0000e-03 2.5000e+02 9.6400e-01 2.8590e-04
1.3000e-02 2.5000e+02 8.2800e-01 1.7325e-03
2.0000e-02 2.5000e+02 7.0100e-01 7.0100e-04
3.2000e-02 2.5000e+02 5.9100e-01 1.8352e-03
5.0000e-02 2.5000e+02 5.2100e-01 1.3546e-03
8.0000e-02 2.5000e+02 4.3200e-01 7.3440e-04
1.3000e-01 2.5000e+02 3.4100e-01 1.1970e-03
1.8000e-01 2.5000e+02 3.2500e-01 1.4950e-03
2.5000e-01 2.5000e+02 2.6300e-01 0.0000e+00
4.0000e-01 2.5000e+02 1.3900e-01 -9.8000e-04
5.0000e-03 3.0000e+02 1.1970e+00 1.7984e-03
8.0000e-03 3.0000e+02 1.0000e+00 6.8740e-04
8.0000e-03 3.0000e+02 9.8900e-01 -1.9420e-04
1.3000e-02 3.0000e+02 8.2200e-01 3.2720e-04
2.0000e-02 3.0000e+02 7.0000e-01 6.9900e-04
3.2000e-02 3.0000e+02 6.1300e-01 1.9616e-03
5.0000e-02 3.0000e+02 5.0300e-01 6.0360e-04
8.0000e-02 3.0000e+02 4.3300e-01 6.0760e-04
1.3000e-01 3.0000e+02 3.5200e-01 7.7660e-04
1.8000e-01 3.0000e+02 3.1800e-01 1.1448e-03
2.5000e-01 3.0000e+02 2.6200e-01 1.0520e-04
4.0000e-01 3.0000e+02 1.5500e-01 -9.3000e-04
8.0000e-03 4.0000e+02 9.9600e-01 1.9220e-04
8.0000e-03 4.0000e+02 1.0600e+00 -3.0690e-04
1.3000e-02 4.0000e+02 8.6700e-01 1.2885e-03
1.3000e-02 4.0000e+02 8.5400e-01 1.6920e-04
2.0000e-02 4.0000e+02 7.1300e-01 8.5320e-04
3.2000e-02 4.0000e+02 6.0700e-01 9.1050e-04
5.0000e-02 4.0000e+02 5.0900e-01 1.6288e-03
8.0000e-02 4.0000e+02 4.4400e-01 7.5480e-04
1.3000e-01 4.0000e+02 3.6200e-01 8.7120e-04
2.5000e-01 4.0000e+02 2.5600e-01 1.7990e-04
4.0000e-01 4.0000e+02 1.6000e-01 -7.6800e-04
1.3000e-02 5.0000e+02 8.9800e-01 -3.5320e-04
1.3000e-02 5.0000e+02 9.0000e-01 -1.9448e-03
2.0000e-02 5.0000e+02 7.4100e-01 4.4220e-04
3.2000e-02 5.0000e+02 6.2300e-01 1.8690e-04
5.0000e-02 5.0000e+02 5.1600e-01 -2.5850e-04
8.0000e-02 5.0000e+02 4.3700e-01 1.2264e-03
